bowler_id,bowler,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
957532de,S Aravind,A Nehra,95.8,CR Woakes,94.3,CH Morris,94.2
96fd40ae,A Nehra,RJ Harris,97.9,M Morkel,97.7,DE Bollinger,96.8
970ddd24,Suryansh Shedge,DJ Hooda,71.8,Shahbaz Ahmed,67.5,S Dube,64.8
97290faf,S Joseph,Arshad Khan,57.4,A Mithun,55.9,Kartik Tyagi,55.5
983f2f61,Swapnil Singh,GJ Maxwell,88.7,STR Binny,81.5,SK Raina,78.4
9868bc75,BMAJ Mendis,P Negi,76.8,Washington Sundar,73.8,RD Chahar,73.3
98ae73b1,PP Chawla,Noor Ahmad,92.7,Imran Tahir,92.4,GB Hogg,92.4
99258814,Gurnoor Brar,PVD Chameera,63.6,A Mithun,60.8,CJ Jordan,57.5
99b202b3,A Chandila,Harbhajan Singh,83.7,MJ Santner,80.5,A Kumble,80.4
99ed60f8,JPR Scantlebury-Searles,R Shepherd,76.1,CJ Anderson,66.7,S Dube,61.0
9a0146b3,P Sahu,RA Jadeja,83.3,AD Mathews,81.0,AK Markram,79.2
9a158001,Azhar Mahmood,MF Maharoof,91.7,DE Bollinger,91.3,MM Patel,90.4
9a46c4e5,GD Phillips,MC Henriques,86.2,SK Raina,82.2,MJ Santner,81.5
9a5f2863,Mohit Rathee,R Shepherd,66.6,S Dube,60.6,Shahbaz Ahmed,57.1
9a963804,LE Plunkett,AD Mathews,74.1,Washington Sundar,73.2,VRV Singh,62.7
9ab63e7b,Mohammad Hafeez,LR Shukla,73.9,RA Jadeja,69.7,AK Markram,68.9
9caf69a1,WG Jacks,MP Stoinis,82.2,V Shankar,79.5,KA Pollard,70.2
9d430b40,SP Narine,DL Vettori,98.2,M Muralitharan,95.7,R Sharma,94.2
