batter_id,batter,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
3ff033bb,MD Shanaka,R Sharma,56.6,K Goel,56.2,A Nehra,52.2
402f8494,RJ Gleeson,JJ Bumrah,53.1,NM Coulter-Nile,50.1,A Kumble,49.6
40caa465,T Kohli,MA Starc,70.5,RP Singh,69.6,S Nadeem,68.1
4125d931,J Suchith,MM Sharma,54.8,R Sharma,43.5,S Nadeem,40.1
4180d897,JE Taylor,DL Vettori,66.6,DS Kulkarni,65.7,Mohammed Shami,64.5
41eb4a4f,R Vinay Kumar,R Bhatia,91.7,Harpreet Brar,83.0,R Dhawan,80.7
4329fbb5,SR Watson,DR Smith,97.7,CH Gayle,96.7,AC Gilchrist,92.8
4353bba5,YA Abdulla,A Nehra,83.2,S Nadeem,80.7,MM Sharma,79.5
441c72ae,P Ray Barman,RS Bopara,82.0,GH Vihari,73.0,M Kaif,66.0
44a89551,KS Bharat,Q de Kock,87.6,MEK Hussey,87.5,R Dravid,87.0
44aac2f0,Arjun Tendulkar,R Ashwin,59.8,R Tewatia,59.1,KV Sharma,58.9
44afbf2d,NJ Maddinson,JD Ryder,51.0,AP Tare,49.2,SA Asnodkar,48.3
45a43fe2,RD Gaikwad,JC Buttler,97.8,HM Amla,96.7,DP Conway,96.3
45c2196c,DE Bollinger,JJ Bumrah,61.8,Sandeep Sharma,61.6,SL Malinga,59.9
45eda7c8,CA Lynn,ML Hayden,93.9,JM Bairstow,93.6,DA Warner,92.6
462411b3,JJ Bumrah,RP Singh,68.4,PP Ojha,67.8,Sandeep Sharma,64.4
4663bd23,TL Seifert,I Sharma,79.3,A Nehra,66.9,MA Starc,62.1
469ea22b,KMDN Kulasekara,JD Unadkat,65.4,PP Shaw,59.6,DB Das,58.0
46a9bea1,TU Deshpande,NM Coulter-Nile,80.1,JC Archer,57.8,TA Boult,57.1
470f446b,V Suryavanshi,Abhishek Sharma,95.0,Priyansh Arya,93.1,PD Salt,92.3
4885bbe6,Yudhvir Singh,K Gowtham,48.1,Ramandeep Singh,48.0,JD Unadkat,45.1
48a1d7b7,SO Hetmyer,HH Pandya,92.3,KD Karthik,92.1,YK Pathan,91.4
48fd7349,MEK Hussey,HM Amla,97.1,RD Gaikwad,95.3,SR Tendulkar,94.4
4933f499,JP Behrendorff,MA Starc,89.4,RP Singh,86.8,A Kumble,81.9
495d42a5,R Ashwin,KV Sharma,78.5,DS Kulkarni,74.3,Bipul Sharma,70.3
4a8a2e3b,MS Dhoni,T Stubbs,84.8,R Tewatia,84.6,AB de Villiers,82.2
4ae1755b,HC Brook,SP Goswami,74.8,Mandeep Singh,65.7,HH Gibbs,62.2
